appliance_name,appliance_description,start_time,end_time
Ballon d'Eau Chaude,Déclenchement aux heures creuses,2025-10-22T23:54:03+02:00,2025-10-23T00:08:46+02:00
Ballon d'Eau Chaude,Déclenchement aux heures creuses,2025-10-22T14:24:01+02:00,2025-10-22T14:36:45+02:00
Ballon d'Eau Chaude,Déclenchement aux heures creuses,2025-10-22T04:36:04+02:00,2025-10-22T04:45:38+02:00
Ballon d'Eau Chaude,Déclenchement aux heures creuses,2025-10-21T23:54:02+02:00,2025-10-22T00:10:04+02:00
Ballon d'Eau Chaude,Déclenchement aux heures creuses,2025-10-21T15:16:22+02:00,2025-10-21T15:22:15+02:00
Ballon d'Eau Chaude,Déclenchement aux heures creuses,2025-10-21T14:24:02+02:00,2025-10-21T14:50:19+02:00
